,origin,destination,distance,duration
149,Customer 9,Customer 5,482,118
150,Customer 9,Customer 6,351,102
151,Customer 9,Customer 7,1003,245
152,Customer 9,Customer 8,503,114
153,Customer 9,Customer 10,6121,627
154,Customer 9,Customer 11,6149,675
155,Customer 9,Customer 12,9867,787
156,Customer 9,Customer 13,6052,613
157,Customer 9,Customer 14,2011,322
158,Customer 9,Customer 15,5614,508
159,Customer 9,Customer 16,7453,828
160,Customer 10,Depot,1383,334
161,Customer 10,Customer 1,7260,833
162,Customer 10,Customer 2,1975,464
163,Customer 10,Customer 3,6833,828
164,Customer 10,Customer 4,1692,365
165,Customer 10,Customer 5,4498,594
166,Customer 10,Customer 6,5197,609
167,Customer 10,Customer 7,5380,683
168,Customer 10,Customer 8,5201,618
169,Customer 10,Customer 9,5071,586
170,Customer 10,Customer 11,482,130
171,Customer 10,Customer 12,8585,808
172,Customer 10,Customer 13,495,139
173,Customer 10,Customer 14,6468,768
174,Customer 10,Customer 15,3378,473
175,Customer 10,Customer 16,6832,841
176,Customer 11,Depot,1619,383
177,Customer 11,Customer 1,6274,786
178,Customer 11,Customer 2,1600,351
179,Customer 11,Customer 3,7069,877
180,Customer 11,Customer 4,1317,252
181,Customer 11,Customer 5,3472,658
182,Customer 11,Customer 6,3341,642
183,Customer 11,Customer 7,3523,716
184,Customer 11,Customer 8,3345,652
185,Customer 11,Customer 9,3214,619
186,Customer 11,Customer 10,482,122
187,Customer 11,Customer 12,9752,817
188,Customer 11,Customer 13,731,188
189,Customer 11,Customer 14,4611,802
190,Customer 11,Customer 15,2889,446
191,Customer 11,Customer 16,7069,889
192,Customer 12,Depot,6687,581
193,Customer 12,Customer 1,4469,348
194,Customer 12,Customer 2,8601,803
195,Customer 12,Customer 3,5149,438
196,Customer 12,Customer 4,7263,790
197,Customer 12,Customer 5,7259,603
198,Customer 12,Customer 6,7958,618
199,Customer 12,Customer 7,8141,691
200,Customer 12,Customer 8,7963,627
201,Customer 12,Customer 9,7832,594
202,Customer 12,Customer 10,6859,683
203,Customer 12,Customer 11,7952,688
204,Customer 12,Customer 13,6790,669
205,Customer 12,Customer 14,9229,777
206,Customer 12,Customer 15,3872,418
207,Customer 12,Customer 16,5149,450
208,Customer 13,Depot,1314,313
209,Customer 13,Customer 1,7191,812
210,Customer 13,Customer 2,1906,443
211,Customer 13,Customer 3,6764,807
212,Customer 13,Customer 4,1623,344
213,Customer 13,Customer 5,4429,573
214,Customer 13,Customer 6,5128,587
215,Customer 13,Customer 7,5311,661
216,Customer 13,Customer 8,5132,597
217,Customer 13,Customer 9,5002,564
218,Customer 13,Customer 10,495,130
219,Customer 13,Customer 11,731,185
220,Customer 13,Customer 12,8516,787
221,Customer 13,Customer 14,6399,747
222,Customer 13,Customer 15,3309,452
223,Customer 13,Customer 16,6763,819
224,Customer 14,Depot,4673,569
225,Customer 14,Customer 1,9883,955
226,Customer 14,Customer 2,3314,615
227,Customer 14,Customer 3,8794,958
228,Customer 14,Customer 4,4846,869
229,Customer 14,Customer 5,1713,265
230,Customer 14,Customer 6,1951,294
231,Customer 14,Customer 7,1674,290
232,Customer 14,Customer 8,1765,269
233,Customer 14,Customer 9,1925,300
234,Customer 14,Customer 10,7462,770
235,Customer 14,Customer 11,7490,817
236,Customer 14,Customer 12,11208,930
237,Customer 14,Customer 13,7393,756
238,Customer 14,Customer 15,6955,651
239,Customer 14,Customer 16,8794,970
240,Customer 15,Depot,4361,500
241,Customer 15,Customer 1,4070,549
242,Customer 15,Customer 2,4115,696
243,Customer 15,Customer 3,7400,725
244,Customer 15,Customer 4,3833,597
245,Customer 15,Customer 5,4933,523
246,Customer 15,Customer 6,5633,537
247,Customer 15,Customer 7,5815,611
248,Customer 15,Customer 8,5637,547
249,Customer 15,Customer 9,5506,514
250,Customer 15,Customer 10,3428,490
251,Customer 15,Customer 11,2866,469
252,Customer 15,Customer 12,6558,544
253,Customer 15,Customer 13,3359,476
254,Customer 15,Customer 14,6903,697
255,Customer 15,Customer 16,7400,737
256,Customer 16,Depot,6686,786
257,Customer 16,Customer 1,6827,617
258,Customer 16,Customer 2,7561,1075
259,Customer 16,Customer 3,248,50
260,Customer 16,Customer 4,7278,976
261,Customer 16,Customer 5,6227,811
262,Customer 16,Customer 6,6927,826
263,Customer 16,Customer 7,7109,900
264,Customer 16,Customer 8,6931,835
265,Customer 16,Customer 9,6800,803
266,Customer 16,Customer 10,6874,870
267,Customer 16,Customer 11,6902,917
268,Customer 16,Customer 12,2358,269
269,Customer 16,Customer 13,6805,855
270,Customer 16,Customer 14,8197,985
271,Customer 16,Customer 15,6231,687
