,origin,destination,distance,duration
92,Abbey Hill Academy,The Albert,26369,1411
93,Abbey Hill Academy,The Ashley Foundation,43102,2180
94,Abbey Hill Academy,The Laurels Childcare Ltd,29923,1887
95,Abbey Hill Academy,The Oasis Cafe,57610,2690
96,Abbey Hill Academy,The Opportunity Cafe,60300,2814
97,Abbey Hill Academy,The Rifty Youth Project,16736,1424
98,Abbey Hill Academy,Tyneside Vineyard Extraordinary Project,59817,2999
99,Abbey Hill Academy,Umbrella Community Centre,56695,3155
100,Abbey Hill Academy,Vinnie's Cafe,58170,2802
101,Abbey Hill Academy,Virginia House Changing Lives,57646,2667
102,Abbey Hill Academy,Wallsend People Centre,59207,2921
103,Abbey Hill Academy,Washingwell Primary School,55657,2613
104,Abbey Hill Academy,West View Primary School,23291,1407
105,Abbey Hill Academy,West View Project,23697,1425
106,Abbey Hill Academy,Wharton Trust,21132,1538
107,Abbey Hill Academy,Whitehead Street - Changing Lives,54171,2608
108,Abbey Lodge,Abbey Hill Academy,43316,2234
109,Abbey Lodge,Abbott House Changing Lives,27252,1917
110,Abbey Lodge,Academy 360,6912,798
111,Abbey Lodge,Age UK Sunderland,1101,179
112,Abbey Lodge,All About You,6005,729
113,Abbey Lodge,Approach Development,64640,2784
114,Abbey Lodge,Basement Project,27205,2212
115,Abbey Lodge,Belle Vue 60+ Club,38885,1989
116,Abbey Lodge,Belle Vue Centre Cafe,38885,1989
117,Abbey Lodge,Belle Vue Play Scheme,38885,1989
118,Abbey Lodge,Belle Vue Youth Project,38885,1989
119,Abbey Lodge,Benfield School,25882,1966
120,Abbey Lodge,Beyond Limits,53455,3501
121,Abbey Lodge,Bibby House - Changing Lives,16222,1252
122,Abbey Lodge,Bilton Hall Community Trust,13086,1355
123,Abbey Lodge,Blyth Star Enterprises,39777,2716
124,Abbey Lodge,Brougham Primary School,33340,1745
125,Abbey Lodge,Byker Community Association,25285,2062
126,Abbey Lodge,Cafe on the Shire - NTDF,25002,2006
127,Abbey Lodge,Changing Lives,19807,1434
128,Abbey Lodge,Cheesy Waffles Project,18303,1466
129,Abbey Lodge,Chester West & Central Community Project @ Bullion Hall,17978,1613
130,Abbey Lodge,Choysez,40879,2640
131,Abbey Lodge,Corbridge Middle School,53354,2762
132,Abbey Lodge,Cornerstones Cafe,16290,1518
133,Abbey Lodge,County Durham Tees Valley Rescue Mission,42438,2454
134,Abbey Lodge,Cumberland House,26584,1829
135,Abbey Lodge,Delta North Consett (formerly YMCA),37565,2962
136,Abbey Lodge,Dementia Care,34982,2402
137,Abbey Lodge,Dynamix Extreme Cic,20230,1522
138,Abbey Lodge,East Durham Community Initiatives,8996,744
139,Abbey Lodge,East Durham Partnership,19376,1105
140,Abbey Lodge,Eastlea Community,9339,750
